timestamp,memory_usage_gb,unit
2024-04-03 14:49:59,9.082,GB
2024-04-03 14:50:00,9.18,GB
2024-04-03 14:50:02,9.274,GB
2024-04-03 14:50:03,9.304,GB
2024-04-03 14:50:05,9.397,GB
2024-04-03 14:50:06,9.494,GB
2024-04-03 14:50:08,9.526,GB
2024-04-03 14:50:09,9.64,GB
2024-04-03 14:50:11,9.781,GB
2024-04-03 14:50:12,9.922,GB
2024-04-03 14:50:14,10.069,GB
2024-04-03 14:50:15,10.257,GB
2024-04-03 14:50:17,10.441,GB
2024-04-03 14:50:18,10.618,GB
2024-04-03 14:50:20,10.806,GB
2024-04-03 14:50:21,10.995,GB
2024-04-03 14:50:23,11.184,GB
2024-04-03 14:50:24,11.355,GB
2024-04-03 14:50:26,11.512,GB
2024-04-03 14:50:28,11.693,GB
2024-04-03 14:50:29,11.866,GB
2024-04-03 14:50:30,12.043,GB
2024-04-03 14:50:32,12.217,GB
2024-04-03 14:50:33,12.394,GB
2024-04-03 14:50:35,12.568,GB
2024-04-03 14:50:36,11.049,GB
2024-04-03 14:50:38,11.232,GB
2024-04-03 14:50:39,11.402,GB
2024-04-03 14:50:41,11.178,GB
2024-04-03 14:50:42,7.417,GB
2024-04-03 14:50:44,7.608,GB
2024-04-03 14:50:45,7.792,GB
2024-04-03 14:50:47,7.974,GB
2024-04-03 14:50:48,8.154,GB
2024-04-03 14:50:50,8.336,GB
2024-04-03 14:50:51,8.523,GB
2024-04-03 14:50:53,8.697,GB
2024-04-03 14:50:54,8.873,GB
2024-04-03 14:50:56,9.05,GB
2024-04-03 14:50:57,9.237,GB
2024-04-03 14:50:59,9.422,GB
2024-04-03 14:51:00,9.619,GB
2024-04-03 14:51:02,9.809,GB
2024-04-03 14:51:03,9.994,GB
2024-04-03 14:51:05,10.182,GB
2024-04-03 14:51:07,10.367,GB
2024-04-03 14:51:08,10.555,GB
2024-04-03 14:51:10,10.738,GB
2024-04-03 14:51:11,10.918,GB
