id_sector,sector,id_subsector,subsector,id_energy_carrier,energy_carrier,id_end_use,end_use,id_end_use_level2,end_use_level2,year,unit,value
3,GHD & Industry,31,agriculture,1,Electricity,2,space cooling,8,space_cooling,2021,kWh,530402072.6
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,1,lighting,2021,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,2,ICT,2021,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,3,mechanical_energy,2021,kWh,28282240366
3,GHD & Industry,31,agriculture,2,Light fuel oil,4,domestic hot water,4,hot_water,2021,kWh,22569305.94
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,5,process_heating,2021,kWh,117600113.6
3,GHD & Industry,31,agriculture,2,Light fuel oil,3,space heating,6,space_heating,2021,kWh,4712340277
3,GHD & Industry,31,agriculture,2,Light fuel oil,1,appliance,7,process_cooling,2021,kWh,0
3,GHD & Industry,31,agriculture,2,Light fuel oil,2,space cooling,8,space_cooling,2021,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,1,lighting,2021,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,2,ICT,2021,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,3,mechanical_energy,2021,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,4,domestic hot water,4,hot_water,2021,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,5,process_heating,2021,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,3,space heating,6,space_heating,2021,kWh,8780000
3,GHD & Industry,31,agriculture,3,Hard coal,1,appliance,7,process_cooling,2021,kWh,0
3,GHD & Industry,31,agriculture,3,Hard coal,2,space cooling,8,space_cooling,2021,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,1,lighting,2021,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,2,ICT,2021,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,3,mechanical_energy,2021,kWh,0
3,GHD & Industry,31,agriculture,6,Natural Gas,4,domestic hot water,4,hot_water,2021,kWh,242877078.9
3,GHD & Industry,31,agriculture,6,Natural Gas,1,appliance,5,process_heating,2021,kWh,365213895.7
