id_region,id_sector,id_subsector,id_end_use,id_energy_carrier,unit,year,value
9,3,31,1,6,kWh/person,2016,402.1411769
9,3,31,1,6,kWh/person,2017,399.9312197
9,3,31,1,6,kWh/person,2018,397.7003423
9,3,31,1,6,kWh/person,2019,395.4905013
9,3,31,1,6,kWh/person,2020,388.9560717
9,3,31,1,6,kWh/person,2021,384.5079373
9,3,31,1,6,kWh/person,2022,381.2178011
9,3,31,1,6,kWh/person,2023,378.5349888
9,3,31,1,6,kWh/person,2024,375.8161474
9,3,31,1,6,kWh/person,2025,373.1965481
9,3,31,1,6,kWh/person,2026,370.8755885
9,3,31,1,6,kWh/person,2027,368.3112489
9,3,31,1,6,kWh/person,2028,366.5595997
9,3,31,1,6,kWh/person,2029,364.630683
9,3,31,1,6,kWh/person,2030,362.7099938
9,3,31,1,6,kWh/person,2031,359.2904266
9,3,31,1,6,kWh/person,2032,357.3953173
9,3,31,1,6,kWh/person,2033,355.6137787
9,3,31,1,6,kWh/person,2034,353.8604863
9,3,31,1,6,kWh/person,2035,352.0727981
9,3,31,1,6,kWh/person,2036,350.2740508
9,3,31,1,6,kWh/person,2037,348.5952126
9,3,31,1,6,kWh/person,2038,346.8921067
9,3,31,1,6,kWh/person,2039,345.6027824
9,3,31,1,6,kWh/person,2040,343.9300227
9,3,31,1,6,kWh/person,2041,342.1550647
9,3,31,1,6,kWh/person,2042,338.7494303
9,3,31,1,6,kWh/person,2043,336.8549188
9,3,31,1,6,kWh/person,2044,334.574108
9,3,31,1,6,kWh/person,2045,332.8976131
9,3,31,1,6,kWh/person,2046,331.1199076
9,3,31,1,6,kWh/person,2047,329.3240481
9,3,31,1,6,kWh/person,2048,327.7702414
9,3,31,1,6,kWh/person,2049,326.0645345
9,3,31,1,6,kWh/person,2050,324.8070185
9,3,31,1,8,kWh/person,2010,113.4042705
9,3,31,1,8,kWh/person,2011,112.7970742
9,3,31,1,8,kWh/person,2012,112.1898778
9,3,31,1,8,kWh/person,2013,111.5826815
9,3,31,1,8,kWh/person,2014,110.9754852
9,3,31,1,8,kWh/person,2015,110.3682889
9,3,31,1,8,kWh/person,2016,109.7380354
9,3,31,1,8,kWh/person,2017,109.1309666
9,3,31,1,8,kWh/person,2018,108.5181895
9,3,31,1,8,kWh/person,2019,107.9111526
9,3,31,1,8,kWh/person,2020,105.7529694
9,3,31,1,8,kWh/person,2021,104.7352527
9,3,31,1,8,kWh/person,2022,103.9257167
9,3,31,1,8,kWh/person,2023,103.2359983
9,3,31,1,8,kWh/person,2024,102.4871157
9,3,31,1,8,kWh/person,2025,101.8790954
9,3,31,1,8,kWh/person,2026,101.2364303
9,3,31,1,8,kWh/person,2027,100.5654791
9,3,31,1,8,kWh/person,2028,99.84794385
9,3,31,1,8,kWh/person,2029,99.37950735
9,3,31,1,8,kWh/person,2030,98.95428674
9,3,31,1,8,kWh/person,2031,97.82690698
9,3,31,1,8,kWh/person,2032,97.41913132
9,3,31,1,8,kWh/person,2033,96.98736886
9,3,31,1,8,kWh/person,2034,96.53549386
9,3,31,1,8,kWh/person,2035,96.04386683
9,3,31,1,8,kWh/person,2036,95.6241852
9,3,31,1,8,kWh/person,2037,95.15653997
9,3,31,1,8,kWh/person,2038,94.71287654
9,3,31,1,8,kWh/person,2039,94.16838002
9,3,31,1,8,kWh/person,2040,93.76071054
9,3,31,1,8,kWh/person,2041,93.36503134
9,3,31,1,8,kWh/person,2042,92.23794512
9,3,31,1,8,kWh/person,2043,91.83027564
9,3,31,1,8,kWh/person,2044,91.26055076
9,3,31,1,8,kWh/person,2045,90.82955281
9,3,31,1,8,kWh/person,2046,90.33869403
9,3,31,1,8,kWh/person,2047,89.91966825
9,3,31,1,8,kWh/person,2048,89.48615201
9,3,31,1,8,kWh/person,2049,89.03838342
9,3,31,1,8,kWh/person,2050,88.49946288
9,3,31,1,12,kWh/person,2010,2282.300824
9,3,31,1,12,kWh/person,2011,2270.37562
9,3,31,1,12,kWh/person,2012,2258.450415
9,3,31,1,12,kWh/person,2013,2246.525211
9,3,31,1,12,kWh/person,2014,2234.600007
9,3,31,1,12,kWh/person,2015,2222.674802
9,3,31,1,12,kWh/person,2016,2210.285192
9,3,31,1,12,kWh/person,2017,2198.362492
9,3,31,1,12,kWh/person,2018,2186.324785
9,3,31,1,12,kWh/person,2019,2174.402713
9,3,31,1,12,kWh/person,2020,2140.068739
9,3,31,1,12,kWh/person,2021,2119.172957
9,3,31,1,12,kWh/person,2022,2101.657923
9,3,31,1,12,kWh/person,2023,2087.409395
9,3,31,1,12,kWh/person,2024,2070.806619
9,3,31,1,12,kWh/person,2025,2055.015936
9,3,31,1,12,kWh/person,2026,2046.16495
9,3,31,1,12,kWh/person,2027,2033.954813
9,3,31,1,12,kWh/person,2028,2023.096178
9,3,31,1,12,kWh/person,2029,2008.295782
9,3,31,1,12,kWh/person,2030,1996.583239
9,3,31,1,12,kWh/person,2031,1978.744134
9,3,31,1,12,kWh/person,2032,1970.320112
9,3,31,1,12,kWh/person,2033,1960.905029
9,3,31,1,12,kWh/person,2034,1951.578878
9,3,31,1,12,kWh/person,2035,1940.679474
9,3,31,1,12,kWh/person,2036,1929.78007
9,3,31,1,12,kWh/person,2037,1923.339513
9,3,31,1,12,kWh/person,2038,1915.412673
9,3,31,1,12,kWh/person,2039,1907.386465
9,3,31,1,12,kWh/person,2040,1894.506022
9,3,31,1,12,kWh/person,2041,1883.607185
9,3,31,1,12,kWh/person,2042,1865.772726
9,3,31,1,12,kWh/person,2043,1857.350897
9,3,31,1,12,kWh/person,2044,1845.146607
9,3,31,1,12,kWh/person,2045,1836.242848
9,3,31,1,12,kWh/person,2046,1825.360476
9,3,31,1,12,kWh/person,2047,1814.478105
9,3,31,1,12,kWh/person,2048,1808.722667
9,3,31,1,12,kWh/person,2049,1800.711561
9,3,31,1,12,kWh/person,2050,1792.794566
9,3,31,1,13,kWh/person,2010,0
9,3,31,1,13,kWh/person,2011,0
9,3,31,1,13,kWh/person,2012,0
9,3,31,1,13,kWh/person,2013,0
9,3,31,1,13,kWh/person,2014,0
9,3,31,1,13,kWh/person,2015,0
9,3,31,1,13,kWh/person,2016,0
9,3,31,1,13,kWh/person,2017,0
9,3,31,1,13,kWh/person,2018,0
9,3,31,1,13,kWh/person,2019,0
9,3,31,1,13,kWh/person,2020,0
9,3,31,1,13,kWh/person,2021,0
9,3,31,1,13,kWh/person,2022,0
9,3,31,1,13,kWh/person,2023,0
9,3,31,1,13,kWh/person,2024,0
9,3,31,1,13,kWh/person,2025,0
9,3,31,1,13,kWh/person,2026,0
9,3,31,1,13,kWh/person,2027,0
9,3,31,1,13,kWh/person,2028,0
9,3,31,1,13,kWh/person,2029,0
9,3,31,1,13,kWh/person,2030,0
9,3,31,1,13,kWh/person,2031,0
9,3,31,1,13,kWh/person,2032,0
9,3,31,1,13,kWh/person,2033,0
9,3,31,1,13,kWh/person,2034,0
9,3,31,1,13,kWh/person,2035,0
9,3,31,1,13,kWh/person,2036,0
9,3,31,1,13,kWh/person,2037,0
9,3,31,1,13,kWh/person,2038,0
9,3,31,1,13,kWh/person,2039,0
9,3,31,1,13,kWh/person,2040,0
9,3,31,1,13,kWh/person,2041,0
9,3,31,1,13,kWh/person,2042,0
9,3,31,1,13,kWh/person,2043,0
9,3,31,1,13,kWh/person,2044,0
9,3,31,1,13,kWh/person,2045,0
9,3,31,1,13,kWh/person,2046,0
9,3,31,1,13,kWh/person,2047,0
9,3,31,1,13,kWh/person,2048,0
9,3,31,1,13,kWh/person,2049,0
9,3,31,1,13,kWh/person,2050,0
9,3,31,1,14,kWh/person,2010,0
9,3,31,1,14,kWh/person,2011,0
9,3,31,1,14,kWh/person,2012,0
9,3,31,1,14,kWh/person,2013,0
9,3,31,1,14,kWh/person,2014,0
9,3,31,1,14,kWh/person,2015,0
9,3,31,1,14,kWh/person,2016,0
9,3,31,1,14,kWh/person,2017,0
9,3,31,1,14,kWh/person,2018,0
9,3,31,1,14,kWh/person,2019,0
9,3,31,1,14,kWh/person,2020,0
9,3,31,1,14,kWh/person,2021,0
9,3,31,1,14,kWh/person,2022,0
9,3,31,1,14,kWh/person,2023,0
9,3,31,1,14,kWh/person,2024,0
9,3,31,1,14,kWh/person,2025,0
9,3,31,1,14,kWh/person,2026,0
9,3,31,1,14,kWh/person,2027,0
9,3,31,1,14,kWh/person,2028,0
9,3,31,1,14,kWh/person,2029,0
9,3,31,1,14,kWh/person,2030,0
9,3,31,1,14,kWh/person,2031,0
9,3,31,1,14,kWh/person,2032,0
9,3,31,1,14,kWh/person,2033,0
9,3,31,1,14,kWh/person,2034,0
9,3,31,1,14,kWh/person,2035,0
9,3,31,1,14,kWh/person,2036,0
9,3,31,1,14,kWh/person,2037,0
9,3,31,1,14,kWh/person,2038,0
9,3,31,1,14,kWh/person,2039,0
9,3,31,1,14,kWh/person,2040,0
9,3,31,1,14,kWh/person,2041,0
9,3,31,1,14,kWh/person,2042,0
9,3,31,1,14,kWh/person,2043,0
9,3,31,1,14,kWh/person,2044,0
9,3,31,1,14,kWh/person,2045,0
9,3,31,1,14,kWh/person,2046,0
9,3,31,1,14,kWh/person,2047,0
9,3,31,1,14,kWh/person,2048,0
9,3,31,1,14,kWh/person,2049,0
9,3,31,1,14,kWh/person,2050,0
9,3,31,1,25,kWh/person,2010,0
9,3,31,1,25,kWh/person,2011,0
9,3,31,1,25,kWh/person,2012,0
9,3,31,1,25,kWh/person,2013,0
9,3,31,1,25,kWh/person,2014,0
9,3,31,1,25,kWh/person,2015,0
9,3,31,1,25,kWh/person,2016,0
9,3,31,1,25,kWh/person,2017,0
9,3,31,1,25,kWh/person,2018,0
9,3,31,1,25,kWh/person,2019,0
9,3,31,1,25,kWh/person,2020,57.67260294
9,3,31,1,25,kWh/person,2021,100.345515
9,3,31,1,25,kWh/person,2022,124.005002
9,3,31,1,25,kWh/person,2023,173.54922
9,3,31,1,25,kWh/person,2024,203.6770408
9,3,31,1,25,kWh/person,2025,233.340765
9,3,31,1,25,kWh/person,2026,267.2452029
9,3,31,1,25,kWh/person,2027,306.8202131
9,3,31,1,25,kWh/person,2028,354.738245
9,3,31,1,25,kWh/person,2029,400.2883267
9,3,31,1,25,kWh/person,2030,434.6049205
9,3,31,1,25,kWh/person,2031,495.4023609
9,3,31,1,25,kWh/person,2032,513.1984589
9,3,31,1,25,kWh/person,2033,528.002065
9,3,31,1,25,kWh/person,2034,549.0558952
9,3,31,1,25,kWh/person,2035,572.4327837
9,3,31,1,25,kWh/person,2036,588.536919
9,3,31,1,25,kWh/person,2037,603.477462
9,3,31,1,25,kWh/person,2038,626.3577244
9,3,31,1,25,kWh/person,2039,645.7770188
9,3,31,1,25,kWh/person,2040,657.5904285
9,3,31,1,25,kWh/person,2041,683.5738291
9,3,31,1,25,kWh/person,2042,719.9589417
9,3,31,1,25,kWh/person,2043,726.3907599
9,3,31,1,25,kWh/person,2044,755.3678654
9,3,31,1,25,kWh/person,2045,768.5849755
9,3,31,1,25,kWh/person,2046,791.1304202
9,3,31,1,25,kWh/person,2047,810.296241
9,3,31,1,25,kWh/person,2048,829.2269412
9,3,31,1,25,kWh/person,2049,832.5060574
9,3,31,1,25,kWh/person,2050,851.0715499
9,3,32,1,1,kWh/person,2010,482.3079879
